username,nom,categorie,biographie,instagram_followers,instagram_following,instagram_posts,tiktok_followers,tiktok_following,tiktok_likes,youtube_subscribers,youtube_views,twitter_followers,score_influence,url_profil,photo_url,source,date_collecte,youtube_videos
alitgtv,Ali TGTV | علي تي جي تي في,,A Camera & A Dream ,0,0,0,0,0,0,4710000,889172540,0,0.0,https://youtube.com/channel/UC9yYY3Sh2Cfd0Y7gTIk_Evw,https://yt3.ggpht.com/ytc/AIdro_l3E9Y7nsuJltki7fjVDBybViyr1kmneI4TSn-TknNDr5U=s800-c-k-c0x00ffffff-no-rj,youtube_api,2026-03-21 22:10:09,462
nessmatv,Nessma TV,,"تتميز قناة نسمة على اليوتيوب بتقديمها لأروع المسلسلات التركية والتونسية، التي تتضمن مجموعة متنوعة من الأعمال الدرامية المشوقة والمحببة للجمهور.

من بين هذه المسلسلات التركية الرائعة التي تقدمها القناة، نجد ""لعبة الأقدار"" و""نسيبتي العزيزة"" و""الكابتن ماجد  و سبق الخير ""، وغيرها من الأعمال التي حققت نج",0,0,0,0,0,0,3020000,1221368514,0,0.0,https://youtube.com/channel/UC-48PCT3flS86JkLzxlTA9g,https://yt3.ggpht.com/htC73IFcaNYpedZU3YRzxe5NjrTa1DDD4DwDEvq1vWfz-9O9e1KViZRaoN1yfV2M7A5n-f5cb9o=s800-c-k-c0x00ffffff-no-rj,youtube_api,2026-03-21 22:11:34,14129
aminematue,Aminematue,,"Twitter : https://twitter.com/AmineMaTue
Twitch : https://www.twitch.tv/aminematue
Instagram : https://www.instagram.com/aminematue/?hl=fr
TikTok : http://www.tiktok.com/@aminematue
",0,0,0,0,0,0,1960000,238771825,0,0.0,https://youtube.com/channel/UCNigJTVnMU8F3n08pYz0UYw,https://yt3.ggpht.com/CP-ySEpsgzL1t4YnglS3JwI-TTzgTsi3axHv7ovF6aKgChY7f8Ln8CzXuoQBEmC_WH3u1nImXA=s800-c-k-c0x00ffffff-no-rj,youtube_api,2026-03-21 22:11:31,109
cuisineolfa,Cuisine olfa المطبخ التونسي مع ألفة,,"adresse de contact professionnel 
contact.cuisine.olfa@gmail.com
السلام عليكم, انا ألفة من تونس و هذه قناتي الخاصة بالطبخ و كل ما يخص المطبخ  قناتي تعتمد علي فيديوات لوصفات سهلة و متنوعة وفيديوات تعليمية  تكشف اسرار الطبخ و المطبخ و خاصة المطبخ التونسي  على طريقتي الخاصة و بالموجود فانا ربة بيت لست ",0,0,0,0,0,0,1740000,244277873,0,0.0,https://youtube.com/channel/UCYR3CEHwc5wBGl_jdplhaHQ,https://yt3.ggpht.com/n_1rZZl9XiUxnNP1tZJXUxJAmR1LQX6BumsMiUrrv1sQbNk8QSJXSYt8oef3q7Gs54-fWpianQ=s800-c-k-c0x00ffffff-no-rj,youtube_api,2026-03-21 22:12:46,2476
bekisworld,Beki’s world | عالم بيكي,,"أهلًا وسهلًا في عالم بيكي، عالمي! في هالقناة، نسافرو مع بعض حوالي العالم، ونشاركوا لحظات كلها مغامرات والأدرينالين.
إذا كان عندكم الفضول تعرفوا أكثر عليا، خليكم تشوفوا 
فيديوهاتي وتشاركوا في القناة!

welcome to Beki's world , my world ! in this channel we travel the world together , we share fun and",0,0,0,0,0,0,1340000,85594675,0,0.0,https://youtube.com/channel/UCDYwYoicVNSuwZi9k7WfpMQ,https://yt3.ggpht.com/FSM5iLZ3gJTU6RAyTMaNIm6LyjNSeMsi3orSQFR0u1L6RCpiSeiawMowjFFvoEM3GfPrdbGz=s800-c-k-c0x00ffffff-no-rj,youtube_api,2026-03-21 22:10:18,119
ahmedriabi,Ahmed Riabi,,,0,0,0,0,0,0,1210000,142308432,0,0.0,https://youtube.com/channel/UCPqChDo2SBAx_hI6yitqLbg,https://yt3.ggpht.com/ltPraec5s3fEkKkJRp2EyftgdncfelL3CmqTytYgKBpUf5z4htw1j0RuV3nfQwBHb6aemBY3=s800-c-k-c0x00ffffff-no-rj,youtube_api,2026-03-21 22:10:56,38
nesym_sea,Nesym Sea,,"
إسمي نسيم 👋🏻 شاب تونسي نشأت و كبرت في البحر و هدفي مشاركة مغامرتي و رحلاتي الإستكشافية معكم، 

قناة Nesym sea أول قناة تونسية 🇹🇳 مختصة في إستكشاف الكائنات التي تعيش على الشواطئ و أعماق البحار  بتقنية الغطس و مشاركة معلوماتي حولها، و كذالك تعلم الصيد وكيفية طبخ بعض الأسماك و قشريات البحر. 
_________",0,0,0,0,0,0,916000,147007537,0,0.0,https://youtube.com/channel/UC879eYxQeaxyxAzyF2RgaJA,https://yt3.ggpht.com/GSgCOSJRgpytKay94Abf2W_8NsJNWsbPds29MOLpsglpw_jesueCVFsDqk9ps7Ft-r_0Il52y3w=s800-c-k-c0x00ffffff-no-rj,youtube_api,2026-03-21 22:11:08,120
demonexion,DEMONEXION,,"WESH LES FRÉROTS c'est .. TONTON DEMONEXION ! 

De la bonne humeur, de l'aventure et surtout des fous rires t’attendent ici mes bg/bgettes !❤️
Bienvenue dans la DEMON’SQUAD  !👹🔥

◼️ Pour toute demande de partenariat : 

▪️ Email : demonexion@rachimedia.com
",0,0,0,0,0,0,727000,297603061,0,0.0,https://youtube.com/channel/UC-KkVdOP86k1SDAWzFfw8nA,https://yt3.ggpht.com/h-t2GNgYI1i1R9juM3ngi4g5v6TnxupmWceQPYDt8ViwB-ZaUohlpxVPwYzOCXqbL0BzV85j4w=s800-c-k-c0x00ffffff-no-rj,youtube_api,2026-03-21 22:11:02,512
ameenxv,Ameen,,"22 Years old Tunisian Storyteller 🇹🇳
قضية جديدة كل يوم سبت 2:00  
",0,0,0,0,0,0,698000,62793041,0,0.0,https://youtube.com/channel/UCmb9lecUNS4xdQEZJDKCQyg,https://yt3.ggpht.com/ytc/AIdro_loRGaz4Sn10sLSCiHIDGeyovxRsEfJ1vs2nfRZNL3XTDE=s800-c-k-c0x00ffffff-no-rj,youtube_api,2026-03-21 22:10:25,430
redouanebougherabatv,Redouane Bougheraba TV,,"Allez Paf... tu trouveras ici sur ma chaîne YouTube mes meilleures impros de stand-up ! Régale-toi ! Deux impros par semaine, tous les mercredis et dimanches à 10h30 !

Instagram : redouanebougheraba
Facebook : Redouane Bougheraba
",0,0,0,0,0,0,560000,210060275,0,0.0,https://youtube.com/channel/UC-4xdm_HWFZqaoZVbJ72o0w,https://yt3.ggpht.com/jtWUcEOuHKWLAIcyxUC6SQYJ0YQhjiKXXtlGT0wS0dhWv-jHVEQXXq5qNqj9203PTVk3jWep5w=s800-c-k-c0x00ffffff-no-rj,youtube_api,2026-03-21 22:13:02,461
myra2343,Myra,,"‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏ إن كان النور ينبع من قلبك، فلن تظل الطريق أبدًا 💎 جُنونْ
🐸  I am just an extraordinary FROG 
Wild and Free
ميرا هو إسمي و أنا طالبة طب تونسية مقيمة بسان بيترسبرغ في سن العشرينيات أقوم بمشاركة حياتي أحيانا معكم في هذا الجانب أطمح أن تأخذنا الرحلة معا لجراحة التجميل بإذن الله .
و أي",0,0,0,0,0,0,552000,25997000,0,0.0,https://youtube.com/channel/UCh94IxMxS2nClS-Rxon0QCw,https://yt3.ggpht.com/ytc/AIdro_m03sXtrIor0MbJPaCA8nxLWjbcTIp2FwFI1TeZ05hThw=s800-c-k-c0x00ffffff-no-rj,youtube_api,2026-03-21 22:10:33,163
ibratraveler7794,IBra Traveler,,"مسافر وصانع محتوى أعمل على مشاركة تجارب السفر وثقافات دول العالم عبر فيديوهات ووثائقيات أشارك فيها كل تفاصيل الرحلة مع الجمهور 🌍
Full time Traveler and Content Creator 🎬
",0,0,0,0,0,0,528000,94423975,0,0.0,https://youtube.com/channel/UCMOn3NWpsE4Mc9ov5o_PeHw,https://yt3.ggpht.com/EYzDOaJtOxcrfMxLAsxhEnqb5vA2vXmw6H2ot-ZtzWGAJUdEUrR0iEHS4J-32aiaz8RcUS7w=s800-c-k-c0x00ffffff-no-rj,youtube_api,2026-03-21 22:10:45,180
tounsibiker,Tounsi Biker,,"Pour toute collaboration:
tounsibiker@urban-media.fr
",0,0,0,0,0,0,489000,66224353,0,0.0,https://youtube.com/channel/UCyD1YIK-aybxQFwTvBYcTnQ,https://yt3.ggpht.com/Qwlpky3f0qFwPneTcO8Y1-GmvJT1rxxRpf76aAGbzxR8bm5gcuOc69RAf2DcZybONBYbV8my=s800-c-k-c0x00ffffff-no-rj,youtube_api,2026-03-21 22:10:14,281
cuisineimen4827,إيمان زهرة المطبخ التونسي Cuisine Imen,,"بسم الله والحمد لله و الصلاة و السلام على رسول الله 
أروع و أشهى الاكلات التونسية و العالمية و فيديوهات تعليمية نصائح منزلية 😍🌷
Instagram : cuisine_imen@

Mon Instagram أنستغرام
https://instagram.com/cuisine__imen?igshid=1j43azjr2wp0p

Page Facebook صفحتي على الفيسبوك :
https://www.facebook.com/إيما",0,0,0,0,0,0,481000,49606050,0,0.0,https://youtube.com/channel/UCmhQHmzhk-Jm9Xvs-5HF8Gg,https://yt3.ggpht.com/ytc/AIdro_mDB5NbC8aKCcejbb0oMdVIoZ9DlT71hJfKnFrVwOGIXGqZ=s800-c-k-c0x00ffffff-no-rj,youtube_api,2026-03-21 22:12:30,559
cuisineleilabenlazher2224,Cuisine leila ben lazher المطبخ التونسي ليلى,,"leilazaibi-tn@hotmail.com
cuisine tunisienne  leila ben lazher 
cuisine tunisienne leila ben lazher zaibi
المطبخ التونسي ليلى بن الازهر 
كوجينة ليلى بن الازهر",0,0,0,0,0,0,342000,38670400,0,0.0,https://youtube.com/channel/UCCtSvngBW-Ul-KBr8v72g3A,https://yt3.ggpht.com/ytc/AIdro_lUkgQRwqmqigHOoUSuaB-dadjIf8dp9HrGRDrNfP4unpE=s800-c-k-c0x00ffffff-no-rj,youtube_api,2026-03-21 22:12:40,628
assiatique,Assiatique,,Assia alias Assiatique !,0,0,0,0,0,0,324000,35584500,0,0.0,https://youtube.com/channel/UC9T7QiyfRU_ogiTdcRSKYPQ,https://yt3.ggpht.com/mYOOz_fhvVGtEO3AySCq7SH8SHGIxPGoiEcVTSig_lYU3wqOBHSKJ4KnvM_Z8GjYCia6exDNIOw=s800-c-k-c0x00ffffff-no-rj,youtube_api,2026-03-21 22:10:47,255
mohamedchoukani,medchou,,رحّالة بدوام كامل,0,0,0,0,0,0,264000,16163861,0,0.0,https://youtube.com/channel/UCrqyYpQ3RXi1TPYkVSoTm-Q,https://yt3.ggpht.com/QWsia3GPD-m_AwuiG8aerZ8alAbR6Sh5eZt6G6yFBTG2jdHZzZWIrG83B68PTge5BYk_KFAA6A=s800-c-k-c0x00ffffff-no-rj,youtube_api,2026-03-21 22:10:30,74
cuisinetunisiennezakia,المطبخ التونسي زكية - Tunisian Cuisine ZAKIA,,"- قناة اليوتوب "" المطبخ التونسي زكية - Tunisian Cuisine Zakia "" هي قناة متخصصة فى الاكلات التونسية الشعبية القديمة والعصرية.
- هذه القناة مقدمة من طرف السيدة ""زكية كبير"" وزوجها ""مختار عمر"" من تونس. Mecanique Mokhtar Tunisie
- شكراً على حسن المتابعة. :
 وصفات سهلة وسريعة اكلات مغاربية شهية, نصائح  تج",0,0,0,0,0,0,263000,42553917,0,0.0,https://youtube.com/channel/UCCNSdCs5iNaSdV3DOdSNwPg,https://yt3.ggpht.com/cdbNzwcYyxL-DWuGTJsnrrG5OxqUyetK3EMGjbi0HsEtvN1cQENO51iHaFZ1fd_rVGfmaFJhaA=s800-c-k-c0x00ffffff-no-rj,youtube_api,2026-03-21 22:12:22,1714
naweliam,NAWEL I AM,,,0,0,0,0,0,0,256000,2298102,0,0.0,https://youtube.com/channel/UC2cjMav7XfvloeQw_LXmwiQ,https://yt3.ggpht.com/-74nAoh7BSHtPWrx9PDOS7Z1lWHCBfHLEoV7FVd1014-u5vjMIA6GRiGF-3NhNvK5_W7WqSILw=s800-c-k-c0x00ffffff-no-rj,youtube_api,2026-03-21 22:10:40,60
assiarabian,Assiarabian,,Je vais là où le vent me mène.,0,0,0,0,0,0,248000,27718195,0,0.0,https://youtube.com/channel/UCBE-Vf3jT1PFPa9G7koHhjQ,https://yt3.ggpht.com/XuOf08lb2EQZcYEi62zP3NiOa4CplbE7K-FNUnca8-qrc-9lapw8-dpaiJD01T-MU5f-8aTHOw=s800-c-k-c0x00ffffff-no-rj,youtube_api,2026-03-21 22:10:00,220
